id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984,29.04545,Entire home/apt,891,365,41,2018-11-07,0.31,2,363
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,273,30,10,2018-05-04,0.30,1,0
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09048,29.05559,Entire home/apt,930,3,0,,,1,88
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04844,28.95254,Private room,372,3,0,,,1,0
30697,nice home in popular area,132137,Nan,,Beyoglu,41.0335,28.97626,Private room,908,1,1,2010-06-14,0.01,1,365
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05382,28.99739,Private room,480,2,1,2014-10-21,0.01,2,1
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02704,28.97588,Private room,512,1,0,,,1,365
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.03658,28.97213,Entire home/apt,282,30,38,2020-02-03,0.45,3,356
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04913,28.99666,Private room,556,1,0,,,1,365
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02725,28.97718,Entire home/apt,537,5,46,2017-05-21,0.37,7,179
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.03089,28.98054,Private room,844,180,86,2015-10-06,0.68,2,269
44429,"Cozy, central, lovely&check out the bathroom!*",194194,Zeyno,,Beyoglu,41.03082,28.97958,Entire home/apt,318,5,22,2020-01-02,0.75,2,48
47264,Kurucesme stunning seaview peacfull Flat,213410,Evrim,,Besiktas,41.06464,29.0358,Entire home/apt,409,30,9,2019-09-02,0.08,8,278
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.03467,28.98902,Private room,372,3,0,,,1,364
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03485,29.03155,Entire home/apt,546,3,13,2020-08-14,0.13,2,365
49955,A room with a view of Bosphorous.,228352,Oz,,Fatih,41.01717,28.96325,Private room,453,1,0,,,1,0
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.02752,28.97858,Entire home/apt,537,5,27,2017-03-14,0.23,7,179
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.0385,28.98189,Entire home/apt,273,28,16,2016-12-31,0.15,3,1
62172,Central Location Taksim/Cihangir,302361,Nurten,,Beyoglu,41.03442,28.98561,Private room,724,3,0,,,3,0
62817,Quiet room in central apartment,305202,Oksan,,Beyoglu,41.03638,28.9909,Private room,327,2,74,2018-08-22,0.64,1,364
77190,flat with garden'n' terrace taksim,413150,Baris,,Beyoglu,41.03343,28.99057,Entire home/apt,231,5,33,2018-08-16,0.29,2,365
77292,3 Bedroom Apartment with Terrace Bosphorus View,414003,Fasedis,,Beyoglu,41.03583,28.98989,Entire home/apt,908,3,2,2020-08-29,0.43,9,93
